@relation yelp_academic_dataset_user

@attribute average_stars numeric
@attribute compliments.cool numeric
@attribute compliments.cute numeric
@attribute compliments.funny numeric
@attribute compliments.hot numeric
@attribute compliments.list numeric
@attribute compliments.more numeric
@attribute compliments.note numeric
@attribute compliments.photos numeric
@attribute compliments.plain numeric
@attribute compliments.profile numeric
@attribute compliments.writer numeric
@attribute elite numeric
@attribute fans numeric
@attribute friends numeric
@attribute review_count numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute votes.funny numeric
@attribute votes.useful numeric
@attribute yelping_since string

@data
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,tamtpo26S154cyLcCsI1ng,0,0,1,2012-10
4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,FiyYtmTG-cKdDXEk-1WTSA,1,1,4,2012-01
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,oDHYR3-qHr_tCew0QjU4BQ,2,1,6,2009-11
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,48cwGttqpWzIfKBZa9MDFA,1,3,5,2013-04
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mzhhY2IBnRyClqXdV1YSSg,0,0,2,2014-04
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqnXlJXUo94-xtcQIHoWFQ,0,0,0,2013-02
3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,W0bOZd1muRUkjdMPJdP7TA,1,1,16,2011-06
4,6,1,1,8,0,4,4,2,4,0,8,0,6,1,47,88gp2O3y4a6YHEdXX4QDYg,85,75,105,2008-11
2.75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,ut24uPCSJrBIB7tcaTxEvQ,0,9,0,2012-06
3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,TJWnhb5E_iDItf0cBteRnA,4,2,4,2010-06
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,vPSejmm_HlvdnX6qUTP9tw,0,0,0,2011-07
3.77,47,0,3,14,0,1,13,1,76,1,10,1,7,1,165,fy8u9MsHxUk1h78r4AlmGg,124,66,178,2012-06
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CTHcviuwKOwLNeWIHFjwfQ,1,0,1,2011-04
3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,JchEBvXwtb5m_5NDOZwqSA,0,1,5,2011-10
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,byuieTzouJoay4-syolnCA,0,0,3,2012-06
4.17,12,0,5,9,0,3,14,0,3,0,3,1,8,1,134,HR38K6lADM5TL5JCpOj3UA,43,30,156,2009-03
4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,Q8T4qP-usl3Ho6IJnyl0LA,59,1,63,2012-03
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Y4ViJxnMZ3IP4cw6gIXUow,0,0,1,2011-09
4.29,7,1,1,3,0,1,2,0,13,1,0,0,0,1,7,1d-AyZ8Sod732M3MmtD3bw,4,4,10,2013-02
4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,MNAMh-F3hJHsRiucqEljGg,2,0,2,2012-01
3.78,30,1,7,11,0,4,21,7,34,1,10,1,5,1,172,CIiXLV58phKOQBDM6KGpkg,86,45,198,2007-11
3.72,15,4,3,12,0,5,6,7,12,3,1,1,15,1,177,vkxZOUET2gsDjEBPJ7iXlg,77,47,126,2009-01
4.4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,05Y7z5_7j_8S2KrCGRoNig,0,0,7,2011-03
4.14,0,0,1,0,0,0,1,0,0,0,0,0,0,1,27,HuMbkTHHokirOjJxXDiKUg,15,2,40,2010-09
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-KSdvu3aWvXRb9L8GZHPHg,0,0,1,2012-09
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3QYuyR9A6PH-g3Ggr02B6w,2,0,7,2012-08
3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,AYHLPhePcbEX0_Mfn5wHVQ,1,1,3,2008-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pn_wWagCZbyp0Jzwqmgp1A,0,0,0,2012-10
3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,_Avf5nuqCjcZal2aAX5mvA,1,0,13,2011-03
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,gtcZ-YHO_73gIAyslzVB1w,0,0,0,2011-08
2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,GNX_Ex0ucekQtpQCdUl24Q,0,0,0,2008-08
3.69,0,3,2,1,0,0,2,0,0,1,0,0,1,1,40,w4d_6Xd4XvoKnXyupRuhbQ,18,18,55,2006-09
4.29,1,0,0,1,0,0,2,0,0,0,0,0,1,1,7,zsQOrwsuWiAyjYuirobe-w,1,0,7,2011-10
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,I77Lbv_MBiirGHMUxA9OhA,0,0,0,2013-10
3.59,11,0,2,9,0,2,1,5,4,0,4,1,10,1,88,p0YMNyX-y5grRwoLQC2-ZA,77,43,139,2010-03
3.94,6,3,3,1,0,1,2,0,3,1,0,0,1,1,64,n7SG66zQG_w-0y2W4jURIg,72,68,174,2007-09
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Il2kLcTPIDeWnINbI3XH7w,0,0,1,2012-10
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1CR_9iLBhFTvUzmk7KDmHQ,0,0,0,2014-01
4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,UwRmWEzat-BziAVlMaSy1g,4,1,8,2010-01
4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,MP7DWGW-Lzd61KirAZo15w,0,0,0,2012-06
5,0,1,0,0,0,0,0,0,1,1,0,0,0,1,3,nsbsJl9mt_iSfRXLoQkiSw,5,4,9,2009-01
2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,r9gwBG59sFJ7n4agbFfkGQ,1,0,11,2011-08
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CgpYm5tPyNJGth3RIZ5JYg,0,0,0,2014-07
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ccllNSS9f_WbglSmlMsqcw,0,0,1,2013-06
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,idFcwq0agkOymMfKTeBT9Q,0,0,0,2010-10
2.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,N4qLEsHJftCqVRredg_Wqw,2,4,5,2011-09
3.9,0,0,0,0,0,0,3,0,0,0,2,0,1,1,29,5qAv2PveEJwKjiqdsQ7EYA,7,13,13,2009-04
4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,mitsv3hJKgNxyqQ5YdyiiQ,1,2,13,2010-09
3.83,58,0,8,18,1,5,15,2,44,3,14,1,6,1,181,vbt_rKSSyoyNuud7Yjn6Qg,226,111,367,2009-09
5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,YzUmscb-zy5zg1uSb7EorQ,0,0,1,2013-01
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,qbPaw0EY-vWzs7v92cet-A,1,0,1,2014-06
3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,hbzgW2oDxQDlmDQ6deXeSw,0,0,1,2009-08
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,QuqvxP4fpMVA1NVYZXRTNw,2,0,3,2008-05
4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,mYnbPyEq33sJIBAg2577fA,0,0,1,2008-04
3.95,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,zJHQQxooyqBFTU3duGdbVA,5,5,19,2012-05
5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,8KII_XT6pvUr00aUkvC7vw,3,1,4,2011-03
4.11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,lWUQ79UGM23o84-1sAaNkg,17,16,20,2014-01
3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,vky4UG5hzy95rgS8s9dCXg,0,1,1,2014-03
3.82,0,0,0,0,0,0,0,0,1,0,0,0,0,1,45,mSRwdGB_oMEIxtY7I0SU-A,4,6,29,2011-08
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,hgqkI3Qx6ysJiQR2IGEtKA,0,0,1,2010-01
3.66,5,0,0,0,0,0,3,0,2,0,0,0,0,1,87,7td3bfDswtio4Nw8FQhPDg,14,6,82,2010-08
4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,B5REXFgFUXZ3a2-DZua5Zg,0,0,8,2013-01
3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,RumG4m2kutSuWxYb5qq2sw,0,1,6,2009-09
4.39,8,1,1,7,0,0,1,0,5,1,6,1,3,1,60,UKqBuuX73J4QkEpeu8zpBw,18,9,47,2013-07
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,ocQkz4oMy8tofhnTYHwaaQ,0,0,3,2008-12
3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,HaVXyGpMWhnXHE4RuXNPaQ,9,12,24,2012-10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,K79GX5FZe-6DkcIqaRTJUw,0,0,0,2011-03
